Please Enter Unimodal Function Number: 19
Iteration 1: Best Cost = 3.727912208216084e+26
Iteration 2: Best Cost = 1.381910416666674e+26
Iteration 3: Best Cost = 1.381910416666674e+26
Iteration 4: Best Cost = 7.763161929312245e+25
Iteration 5: Best Cost = 7.763161929312245e+25
Iteration 6: Best Cost = 7.763161929312245e+25
Iteration 7: Best Cost = 7.763161929312245e+25
Iteration 8: Best Cost = 4.020034327403947e+25
Iteration 9: Best Cost = 4.020034327403947e+25
Iteration 10: Best Cost = 4.020034327403947e+25
Iteration 11: Best Cost = 1.605835251909967e+25
Iteration 12: Best Cost = 4.313579323257768e+21
Iteration 13: Best Cost = 4.313579323257768e+21
Iteration 14: Best Cost = 4.313579323257768e+21
Iteration 15: Best Cost = 4.313579323257768e+21
Iteration 16: Best Cost = 4.313579323257768e+21
Iteration 17: Best Cost = 4.594093522307836e+20
Iteration 18: Best Cost = 4.594093522307836e+20
Iteration 19: Best Cost = 4.594093522307836e+20
Iteration 20: Best Cost = 1.330316223991735e+19
Iteration 21: Best Cost = 1.330316223991735e+19
Iteration 22: Best Cost = 4.839734758287351e+18
Iteration 23: Best Cost = 4.839734758287351e+18
Iteration 24: Best Cost = 4.839734758287351e+18
Iteration 25: Best Cost = 1.295705714316347e+17
Iteration 26: Best Cost = 1.295705714316347e+17
Iteration 27: Best Cost = 1.295705714316347e+17
Iteration 28: Best Cost = 4.842438777448266e+16
Iteration 29: Best Cost = 4.842438777448266e+16
Iteration 30: Best Cost = 4.842438777448266e+16
Iteration 31: Best Cost = 4.842438777448266e+16
Iteration 32: Best Cost = 4.842438777448266e+16
Iteration 33: Best Cost = 1.143291299324729e+16
Iteration 34: Best Cost = 1.143291299324729e+16
Iteration 35: Best Cost = 1.143291299324729e+16
Iteration 36: Best Cost = 1.037256338260478e+16
Iteration 37: Best Cost = 5975630732492558
Iteration 38: Best Cost = 795800414473209
Iteration 39: Best Cost = 795800414473209
Iteration 40: Best Cost = 1136266446001.393
Iteration 41: Best Cost = 1136266446001.393
Iteration 42: Best Cost = 1136266446001.393
Iteration 43: Best Cost = 1136266446001.393
Iteration 44: Best Cost = 1136266446001.393
Iteration 45: Best Cost = 1136266446001.393
Iteration 46: Best Cost = 1136266446001.393
