Please Enter Unimodal Function Number: 9
Iteration 1: Best Cost = 4.1875
Iteration 2: Best Cost = 4.1875
Iteration 3: Best Cost = 0.57669
Iteration 4: Best Cost = 0.30788
Iteration 5: Best Cost = 0.30788
Iteration 6: Best Cost = 0.30788
Iteration 7: Best Cost = 0.30788
Iteration 8: Best Cost = 0.30788
Iteration 9: Best Cost = 0.017101
Iteration 10: Best Cost = 0.017101
Iteration 11: Best Cost = 0.017101
Iteration 12: Best Cost = 0.017101
Iteration 13: Best Cost = 0.017101
Iteration 14: Best Cost = 0.017101
Iteration 15: Best Cost = 0.017101
Iteration 16: Best Cost = 0.017101
Iteration 17: Best Cost = 0.017101
Iteration 18: Best Cost = 0.017101
Iteration 19: Best Cost = 0.017101
Iteration 20: Best Cost = 0.017101
Iteration 21: Best Cost = 0.017101
Iteration 22: Best Cost = 0.017101
Iteration 23: Best Cost = 0.0094131
Iteration 24: Best Cost = 0.0030076
Iteration 25: Best Cost = 0.0030076
Iteration 26: Best Cost = 0.0030076
Iteration 27: Best Cost = 0.0030076
Iteration 28: Best Cost = 0.0030076
Iteration 29: Best Cost = 0.0030076
Iteration 30: Best Cost = 0.0030076
Iteration 31: Best Cost = 0.0030076
Iteration 32: Best Cost = 0.0030076
Iteration 33: Best Cost = 0.0030076
Iteration 34: Best Cost = 0.0030076
Iteration 35: Best Cost = 0.0030076
Iteration 36: Best Cost = 0.0026495
Iteration 37: Best Cost = 0.0026495
Iteration 38: Best Cost = 0.0026495
Iteration 39: Best Cost = 0.0024703
Iteration 40: Best Cost = 0.0024703
Iteration 41: Best Cost = 0.0024364
Iteration 42: Best Cost = 0.0024364
Iteration 43: Best Cost = 0.0023166
Iteration 44: Best Cost = 0.0023164
Iteration 45: Best Cost = 0.0022278
Iteration 46: Best Cost = 0.0021089
Iteration 47: Best Cost = 0.0020456
Iteration 48: Best Cost = 0.0020456
Iteration 49: Best Cost = 0.0020363
Iteration 50: Best Cost = 0.0019484
Iteration 51: Best Cost = 0.0019484
Iteration 52: Best Cost = 0.0019484
Iteration 53: Best Cost = 0.0019484
Iteration 54: Best Cost = 0.0019484
Iteration 55: Best Cost = 0.0019481
Iteration 56: Best Cost = 0.0019315
Iteration 57: Best Cost = 0.0018996
Iteration 58: Best Cost = 0.0018888
Iteration 59: Best Cost = 0.0018813
Iteration 60: Best Cost = 0.0018813
Iteration 61: Best Cost = 0.001863
Iteration 62: Best Cost = 0.001863
Iteration 63: Best Cost = 0.001854
Iteration 64: Best Cost = 0.0018527
Iteration 65: Best Cost = 0.0018513
Iteration 66: Best Cost = 0.0018492
Iteration 67: Best Cost = 0.0018481
Iteration 68: Best Cost = 0.0018471
Iteration 69: Best Cost = 0.0018471
Iteration 70: Best Cost = 0.0018464
Iteration 71: Best Cost = 0.001845
Iteration 72: Best Cost = 0.0018443
Iteration 73: Best Cost = 0.0018438
Iteration 74: Best Cost = 0.0018423
Iteration 75: Best Cost = 0.0018414
Iteration 76: Best Cost = 0.0018396
Iteration 77: Best Cost = 0.0018387
Iteration 78: Best Cost = 0.0018369
Iteration 79: Best Cost = 0.0018352
Iteration 80: Best Cost = 0.0018346
Iteration 81: Best Cost = 0.0018332
Iteration 82: Best Cost = 0.0018331
Iteration 83: Best Cost = 0.0018316
Iteration 84: Best Cost = 0.0018305
Iteration 85: Best Cost = 0.0018292
Iteration 86: Best Cost = 0.0018285
Iteration 87: Best Cost = 0.0018272
Iteration 88: Best Cost = 0.0018266
Iteration 89: Best Cost = 0.0018256
Iteration 90: Best Cost = 0.0018238
Iteration 91: Best Cost = 0.0018236
Iteration 92: Best Cost = 0.0018211
Iteration 93: Best Cost = 0.0018211
Iteration 94: Best Cost = 0.00182
Iteration 95: Best Cost = 0.0018183
Iteration 96: Best Cost = 0.0018173
Iteration 97: Best Cost = 0.0018167
Iteration 98: Best Cost = 0.0018158
Iteration 99: Best Cost = 0.0018145
Iteration 100: Best Cost = 0.0018137
Iteration 101: Best Cost = 0.001812
Iteration 102: Best Cost = 0.0018116
Iteration 103: Best Cost = 0.00181
Iteration 104: Best Cost = 0.0018085
Iteration 105: Best Cost = 0.0018059
Iteration 106: Best Cost = 0.0018059
Iteration 107: Best Cost = 0.001805
Iteration 108: Best Cost = 0.0018036
Iteration 109: Best Cost = 0.0018032
Iteration 110: Best Cost = 0.0018026
Iteration 111: Best Cost = 0.0018019
Iteration 112: Best Cost = 0.0018007
Iteration 113: Best Cost = 0.0018004
Iteration 114: Best Cost = 0.0017994
Iteration 115: Best Cost = 0.0017982
Iteration 116: Best Cost = 0.0017976
Iteration 117: Best Cost = 0.0017962
Iteration 118: Best Cost = 0.0017946
Iteration 119: Best Cost = 0.0017942
Iteration 120: Best Cost = 0.0017924
Iteration 121: Best Cost = 0.0017914
Iteration 122: Best Cost = 0.0017903
Iteration 123: Best Cost = 0.0017881
Iteration 124: Best Cost = 0.0017868
Iteration 125: Best Cost = 0.0017853
Iteration 126: Best Cost = 0.0017839
Iteration 127: Best Cost = 0.0017815
Iteration 128: Best Cost = 0.0017779
Iteration 129: Best Cost = 0.0017776
Iteration 130: Best Cost = 0.0017751
Iteration 131: Best Cost = 0.0017737
Iteration 132: Best Cost = 0.0017709
Iteration 133: Best Cost = 0.0017702
Iteration 134: Best Cost = 0.001769
Iteration 135: Best Cost = 0.0017676
Iteration 136: Best Cost = 0.0017663
Iteration 137: Best Cost = 0.001765
Iteration 138: Best Cost = 0.0017639
Iteration 139: Best Cost = 0.001761
Iteration 140: Best Cost = 0.0017602
Iteration 141: Best Cost = 0.0017586
Iteration 142: Best Cost = 0.0017581
Iteration 143: Best Cost = 0.0017571
Iteration 144: Best Cost = 0.0017568
Iteration 145: Best Cost = 0.0017554
Iteration 146: Best Cost = 0.0017545
Iteration 147: Best Cost = 0.0017509
Iteration 148: Best Cost = 0.0017496
Iteration 149: Best Cost = 0.0017493
