Please Enter Unimodal Function Number: 17
Iteration 1: Best Cost = 779.8707
Iteration 2: Best Cost = 779.8707
Iteration 3: Best Cost = 779.8707
Iteration 4: Best Cost = 779.8707
Iteration 5: Best Cost = 779.8707
Iteration 6: Best Cost = 687.6939
Iteration 7: Best Cost = 687.6939
Iteration 8: Best Cost = 658.9624
Iteration 9: Best Cost = 556.8471
Iteration 10: Best Cost = 556.8471
Iteration 11: Best Cost = 444.0772
Iteration 12: Best Cost = 444.0772
Iteration 13: Best Cost = 444.0772
Iteration 14: Best Cost = 444.0772
Iteration 15: Best Cost = 397.0414
Iteration 16: Best Cost = 337.7252
Iteration 17: Best Cost = 307.1745
Iteration 18: Best Cost = 307.1745
Iteration 19: Best Cost = 307.1745
Iteration 20: Best Cost = 307.1745
Iteration 21: Best Cost = 307.1745
Iteration 22: Best Cost = 276.3278
Iteration 23: Best Cost = 199.4291
Iteration 24: Best Cost = 199.4291
Iteration 25: Best Cost = 199.4291
Iteration 26: Best Cost = 147.8219
Iteration 27: Best Cost = 147.8219
Iteration 28: Best Cost = 140.9662
Iteration 29: Best Cost = 140.9662
Iteration 30: Best Cost = 140.9662
Iteration 31: Best Cost = 140.9662
Iteration 32: Best Cost = 138.5646
Iteration 33: Best Cost = 110.1961
Iteration 34: Best Cost = 105.9952
Iteration 35: Best Cost = 100.3095
Iteration 36: Best Cost = 100.3095
Iteration 37: Best Cost = 96.8682
Iteration 38: Best Cost = 90.7056
Iteration 39: Best Cost = 90.7056
Iteration 40: Best Cost = 90.7056
Iteration 41: Best Cost = 87.5863
Iteration 42: Best Cost = 76.2667
Iteration 43: Best Cost = 62.8213
Iteration 44: Best Cost = 56.6463
Iteration 45: Best Cost = 56.6463
Iteration 46: Best Cost = 56.6463
Iteration 47: Best Cost = 50.2145
Iteration 48: Best Cost = 46.363
Iteration 49: Best Cost = 38.8697
Iteration 50: Best Cost = 38.8697
Iteration 51: Best Cost = 34.5872
Iteration 52: Best Cost = 34.5872
Iteration 53: Best Cost = 34.5872
Iteration 54: Best Cost = 31.8107
Iteration 55: Best Cost = 31.8107
Iteration 56: Best Cost = 25.2614
Iteration 57: Best Cost = 25.2614
Iteration 58: Best Cost = 25.2614
Iteration 59: Best Cost = 25.2614
Iteration 60: Best Cost = 25.2614
Iteration 61: Best Cost = 25.2614
Iteration 62: Best Cost = 23.5107
Iteration 63: Best Cost = 23.5107
Iteration 64: Best Cost = 16.139
Iteration 65: Best Cost = 16.139
Iteration 66: Best Cost = 13.7995
Iteration 67: Best Cost = 13.4501
Iteration 68: Best Cost = 13.4501
Iteration 69: Best Cost = 11.8577
Iteration 70: Best Cost = 11.153
Iteration 71: Best Cost = 9.4613
Iteration 72: Best Cost = 8.2385
Iteration 73: Best Cost = 8.2385
Iteration 74: Best Cost = 8.2385
Iteration 75: Best Cost = 8.2385
Iteration 76: Best Cost = 8.2385
Iteration 77: Best Cost = 7.6462
Iteration 78: Best Cost = 6.4425
Iteration 79: Best Cost = 6.4425
Iteration 80: Best Cost = 5.9084
Iteration 81: Best Cost = 5.9084
Iteration 82: Best Cost = 4.8766
Iteration 83: Best Cost = 4.7479
Iteration 84: Best Cost = 4.1863
Iteration 85: Best Cost = 4.1863
Iteration 86: Best Cost = 3.8145
Iteration 87: Best Cost = 3.8145
Iteration 88: Best Cost = 3.2452
Iteration 89: Best Cost = 3.1181
Iteration 90: Best Cost = 3.1181
Iteration 91: Best Cost = 2.2052
Iteration 92: Best Cost = 2.2052
Iteration 93: Best Cost = 2.0116
Iteration 94: Best Cost = 2.0116
Iteration 95: Best Cost = 1.6617
Iteration 96: Best Cost = 1.6617
Iteration 97: Best Cost = 1.6617
Iteration 98: Best Cost = 1.6115
Iteration 99: Best Cost = 1.6115
Iteration 100: Best Cost = 1.5953
Iteration 101: Best Cost = 1.11
Iteration 102: Best Cost = 1.11
Iteration 103: Best Cost = 1.11
Iteration 104: Best Cost = 1.11
Iteration 105: Best Cost = 1.11
Iteration 106: Best Cost = 0.93776
Iteration 107: Best Cost = 0.81736
Iteration 108: Best Cost = 0.81736
Iteration 109: Best Cost = 0.6592
Iteration 110: Best Cost = 0.60737
Iteration 111: Best Cost = 0.60737
Iteration 112: Best Cost = 0.57475
Iteration 113: Best Cost = 0.57077
Iteration 114: Best Cost = 0.51478
Iteration 115: Best Cost = 0.46573
Iteration 116: Best Cost = 0.4451
Iteration 117: Best Cost = 0.36807
Iteration 118: Best Cost = 0.36807
Iteration 119: Best Cost = 0.35354
Iteration 120: Best Cost = 0.35354
Iteration 121: Best Cost = 0.35354
