Please Enter Unimodal Function Number: 21
Iteration 1: Best Cost = 118.995
Iteration 2: Best Cost = 118.995
Iteration 3: Best Cost = 118.995
Iteration 4: Best Cost = 107.2185
Iteration 5: Best Cost = 74.4783
Iteration 6: Best Cost = 74.4783
Iteration 7: Best Cost = 74.4783
Iteration 8: Best Cost = 74.4783
Iteration 9: Best Cost = 74.4783
Iteration 10: Best Cost = 74.4783
Iteration 11: Best Cost = 74.4783
Iteration 12: Best Cost = 67.4965
Iteration 13: Best Cost = 50.7047
Iteration 14: Best Cost = 42.6225
Iteration 15: Best Cost = 40.2424
Iteration 16: Best Cost = 23.9688
Iteration 17: Best Cost = 23.9688
Iteration 18: Best Cost = 23.9688
Iteration 19: Best Cost = 15.9976
Iteration 20: Best Cost = 15.9976
Iteration 21: Best Cost = 10.1198
Iteration 22: Best Cost = 10.1198
Iteration 23: Best Cost = 10.1198
Iteration 24: Best Cost = 10.1198
Iteration 25: Best Cost = 9.6529
Iteration 26: Best Cost = 9.6529
Iteration 27: Best Cost = 8.7823
Iteration 28: Best Cost = 8.2491
Iteration 29: Best Cost = 6.8946
Iteration 30: Best Cost = 5.0011
Iteration 31: Best Cost = 4.4668
Iteration 32: Best Cost = 3.9409
Iteration 33: Best Cost = 3.781
Iteration 34: Best Cost = 2.8857
Iteration 35: Best Cost = 2.8857
Iteration 36: Best Cost = 2.7428
Iteration 37: Best Cost = 2.5128
Iteration 38: Best Cost = 2.4819
Iteration 39: Best Cost = 1.6772
Iteration 40: Best Cost = 1.6772
Iteration 41: Best Cost = 1.6772
Iteration 42: Best Cost = 1.6772
Iteration 43: Best Cost = 1.3984
Iteration 44: Best Cost = 1.3984
Iteration 45: Best Cost = 1.296
Iteration 46: Best Cost = 1.071
Iteration 47: Best Cost = 1.008
Iteration 48: Best Cost = 0.61481
Iteration 49: Best Cost = 0.48521
Iteration 50: Best Cost = 0.34588
Iteration 51: Best Cost = 0.34588
Iteration 52: Best Cost = 0.34588
Iteration 53: Best Cost = 0.30559
Iteration 54: Best Cost = 0.25565
Iteration 55: Best Cost = 0.1535
Iteration 56: Best Cost = 0.1535
Iteration 57: Best Cost = 0.1535
Iteration 58: Best Cost = 0.13833
Iteration 59: Best Cost = 0.10089
Iteration 60: Best Cost = 0.0508
Iteration 61: Best Cost = 0.0508
Iteration 62: Best Cost = 0.0508
Iteration 63: Best Cost = 0.0508
Iteration 64: Best Cost = 0.036661
Iteration 65: Best Cost = 0.036661
Iteration 66: Best Cost = 0.036661
Iteration 67: Best Cost = 0.030165
Iteration 68: Best Cost = 0.030165
Iteration 69: Best Cost = 0.030165
Iteration 70: Best Cost = 0.030165
Iteration 71: Best Cost = 0.030165
Iteration 72: Best Cost = 0.030165
Iteration 73: Best Cost = 0.017686
Iteration 74: Best Cost = 0.017686
Iteration 75: Best Cost = 0.017686
Iteration 76: Best Cost = 0.014258
Iteration 77: Best Cost = 0.014258
Iteration 78: Best Cost = 0.011234
Iteration 79: Best Cost = 0.011234
Iteration 80: Best Cost = 0.011156
Iteration 81: Best Cost = 0.0080053
Iteration 82: Best Cost = 0.0080053
Iteration 83: Best Cost = 0.0080053
Iteration 84: Best Cost = 0.0055578
Iteration 85: Best Cost = 0.0055578
Iteration 86: Best Cost = 0.0055578
Iteration 87: Best Cost = 0.0052993
Iteration 88: Best Cost = 0.0042833
Iteration 89: Best Cost = 0.0042833
Iteration 90: Best Cost = 0.0039004
Iteration 91: Best Cost = 0.0037846
Iteration 92: Best Cost = 0.0024166
Iteration 93: Best Cost = 0.0024166
Iteration 94: Best Cost = 0.0024166
Iteration 95: Best Cost = 0.0024166
Iteration 96: Best Cost = 0.0022997
Iteration 97: Best Cost = 0.0022997
Iteration 98: Best Cost = 0.0015741
Iteration 99: Best Cost = 0.0015741
Iteration 100: Best Cost = 0.0015741
Iteration 101: Best Cost = 0.0015741
Iteration 102: Best Cost = 0.0015741
Iteration 103: Best Cost = 0.0013919
Iteration 104: Best Cost = 0.0012438
Iteration 105: Best Cost = 0.00097846
Iteration 106: Best Cost = 0.00097846
Iteration 107: Best Cost = 0.00078563
Iteration 108: Best Cost = 0.00077332
Iteration 109: Best Cost = 0.00077332
Iteration 110: Best Cost = 0.00077332
Iteration 111: Best Cost = 0.00075464
Iteration 112: Best Cost = 0.00057516
Iteration 113: Best Cost = 0.00046514
Iteration 114: Best Cost = 0.00046514
Iteration 115: Best Cost = 0.0003342
Iteration 116: Best Cost = 0.0003342
Iteration 117: Best Cost = 0.0003342
Iteration 118: Best Cost = 0.00029639
Iteration 119: Best Cost = 0.00026005
Iteration 120: Best Cost = 0.00025455
Iteration 121: Best Cost = 0.00022947
Iteration 122: Best Cost = 0.00022276
Iteration 123: Best Cost = 0.00017306
Iteration 124: Best Cost = 0.00017306
Iteration 125: Best Cost = 0.00015134
Iteration 126: Best Cost = 0.00010492
Iteration 127: Best Cost = 0.00010492
Iteration 128: Best Cost = 0.00010492
Iteration 129: Best Cost = 8.2834e-05
Iteration 130: Best Cost = 7.9133e-05
Iteration 131: Best Cost = 7.9133e-05
Iteration 132: Best Cost = 5.5865e-05
Iteration 133: Best Cost = 5.5865e-05
Iteration 134: Best Cost = 5.1644e-05
Iteration 135: Best Cost = 4.5313e-05
Iteration 136: Best Cost = 4.5313e-05
Iteration 137: Best Cost = 4.5313e-05
Iteration 138: Best Cost = 4.0275e-05
Iteration 139: Best Cost = 2.3864e-05
Iteration 140: Best Cost = 2.3864e-05
Iteration 141: Best Cost = 2.229e-05
Iteration 142: Best Cost = 1.9561e-05
Iteration 143: Best Cost = 1.7577e-05
Iteration 144: Best Cost = 1.7577e-05
Iteration 145: Best Cost = 9.9583e-06
Iteration 146: Best Cost = 9.9583e-06
Iteration 147: Best Cost = 8.9995e-06
Iteration 148: Best Cost = 8.9995e-06
Iteration 149: Best Cost = 4.8367e-06
Iteration 150: Best Cost = 4.8367e-06
Iteration 151: Best Cost = 4.2271e-06
Iteration 152: Best Cost = 4.2271e-06
Iteration 153: Best Cost = 4.2271e-06
Iteration 154: Best Cost = 4.2271e-06
Iteration 155: Best Cost = 2.8327e-06
Iteration 156: Best Cost = 2.8327e-06
Iteration 157: Best Cost = 2.8327e-06
Iteration 158: Best Cost = 2.8327e-06
Iteration 159: Best Cost = 2.6932e-06
Iteration 160: Best Cost = 2.3775e-06
Iteration 161: Best Cost = 2.2471e-06
Iteration 162: Best Cost = 1.9482e-06
Iteration 163: Best Cost = 1.6616e-06
Iteration 164: Best Cost = 1.6616e-06
Iteration 165: Best Cost = 1.2408e-06
Iteration 166: Best Cost = 1.2408e-06
Iteration 167: Best Cost = 1.2408e-06
Iteration 168: Best Cost = 1.1851e-06
Iteration 169: Best Cost = 1.0888e-06
Iteration 170: Best Cost = 8.4904e-07
Iteration 171: Best Cost = 8.4904e-07
Iteration 172: Best Cost = 7.945e-07
Iteration 173: Best Cost = 5.8948e-07
Iteration 174: Best Cost = 5.8948e-07
Iteration 175: Best Cost = 5.7715e-07
Iteration 176: Best Cost = 5.7715e-07
Iteration 177: Best Cost = 5.0302e-07
Iteration 178: Best Cost = 3.9209e-07
Iteration 179: Best Cost = 3.9209e-07
Iteration 180: Best Cost = 3.9209e-07
Iteration 181: Best Cost = 3.9209e-07
Iteration 182: Best Cost = 2.1276e-07
Iteration 183: Best Cost = 2.1276e-07
Iteration 184: Best Cost = 2.092e-07
Iteration 185: Best Cost = 1.5836e-07
Iteration 186: Best Cost = 1.4463e-07
Iteration 187: Best Cost = 9.2599e-08
Iteration 188: Best Cost = 9.2599e-08
Iteration 189: Best Cost = 9.2599e-08
Iteration 190: Best Cost = 6.5948e-08
Iteration 191: Best Cost = 6.5948e-08
Iteration 192: Best Cost = 6.5948e-08
Iteration 193: Best Cost = 6.5948e-08
Iteration 194: Best Cost = 5.8983e-08
Iteration 195: Best Cost = 5.8983e-08
Iteration 196: Best Cost = 4.1822e-08
Iteration 197: Best Cost = 3.5434e-08
Iteration 198: Best Cost = 3.5434e-08
Iteration 199: Best Cost = 2.9679e-08
Iteration 200: Best Cost = 2.9679e-08
Iteration 201: Best Cost = 2.1757e-08
Iteration 202: Best Cost = 1.7967e-08
Iteration 203: Best Cost = 1.7967e-08
Iteration 204: Best Cost = 1.7967e-08
Iteration 205: Best Cost = 1.1223e-08
Iteration 206: Best Cost = 1.1223e-08
Iteration 207: Best Cost = 1.1223e-08
Iteration 208: Best Cost = 6.3435e-09
Iteration 209: Best Cost = 6.3435e-09
Iteration 210: Best Cost = 5.3855e-09
Iteration 211: Best Cost = 5.2182e-09
Iteration 212: Best Cost = 4.7867e-09
Iteration 213: Best Cost = 4.62e-09
Iteration 214: Best Cost = 4.62e-09
Iteration 215: Best Cost = 3.1905e-09
Iteration 216: Best Cost = 3.0338e-09
Iteration 217: Best Cost = 3.0338e-09
Iteration 218: Best Cost = 9.7633e-10
Iteration 219: Best Cost = 9.7633e-10
Iteration 220: Best Cost = 9.7633e-10
Iteration 221: Best Cost = 9.7633e-10
Iteration 222: Best Cost = 9.7633e-10
Iteration 223: Best Cost = 9.7633e-10
Iteration 224: Best Cost = 9.7633e-10
Iteration 225: Best Cost = 9.7633e-10
Iteration 226: Best Cost = 9.7633e-10
Iteration 227: Best Cost = 4.7349e-10
Iteration 228: Best Cost = 4.7349e-10
Iteration 229: Best Cost = 4.7349e-10
Iteration 230: Best Cost = 4.7349e-10
Iteration 231: Best Cost = 4.7349e-10
Iteration 232: Best Cost = 4.7349e-10
Iteration 233: Best Cost = 4.3698e-10
Iteration 234: Best Cost = 4.3502e-10
Iteration 235: Best Cost = 4.3502e-10
Iteration 236: Best Cost = 2.9424e-10
Iteration 237: Best Cost = 2.9424e-10
Iteration 238: Best Cost = 2.9424e-10
Iteration 239: Best Cost = 2.9313e-10
Iteration 240: Best Cost = 2.243e-10
Iteration 241: Best Cost = 1.757e-10
Iteration 242: Best Cost = 1.757e-10
