Please Enter Unimodal Function Number: 20
Iteration 1: Best Cost = 5344172662.4455
Iteration 2: Best Cost = 5344172662.4455
Iteration 3: Best Cost = 5344172662.4455
Iteration 4: Best Cost = 5344172662.4455
Iteration 5: Best Cost = 5344172662.4455
Iteration 6: Best Cost = 5344172662.4455
Iteration 7: Best Cost = 5344172662.4455
Iteration 8: Best Cost = 5344172662.4455
Iteration 9: Best Cost = 5344172662.4455
Iteration 10: Best Cost = 5344172662.4455
Iteration 11: Best Cost = 5344172662.4455
Iteration 12: Best Cost = 5344172662.4455
Iteration 13: Best Cost = 5344172662.4455
Iteration 14: Best Cost = 1802336283.9071
Iteration 15: Best Cost = 1802336283.9071
Iteration 16: Best Cost = 1802336283.9071
Iteration 17: Best Cost = 1802336283.9071
Iteration 18: Best Cost = 1802336283.9071
Iteration 19: Best Cost = 1802336283.9071
Iteration 20: Best Cost = 609336588.0694
Iteration 21: Best Cost = 609336588.0694
Iteration 22: Best Cost = 609336588.0694
Iteration 23: Best Cost = 609336588.0694
Iteration 24: Best Cost = 609336588.0694
Iteration 25: Best Cost = 609336588.0694
Iteration 26: Best Cost = 609336588.0694
Iteration 27: Best Cost = 609336588.0694
Iteration 28: Best Cost = 609336588.0694
Iteration 29: Best Cost = 609336588.0694
Iteration 30: Best Cost = 609336588.0694
Iteration 31: Best Cost = 609336588.0694
Iteration 32: Best Cost = 609336588.0694
Iteration 33: Best Cost = 609336588.0694
Iteration 34: Best Cost = 102276153.9807
Iteration 35: Best Cost = 102276153.9807
Iteration 36: Best Cost = 102276153.9807
Iteration 37: Best Cost = 102276153.9807
Iteration 38: Best Cost = 94822366.4499
Iteration 39: Best Cost = 94822366.4499
Iteration 40: Best Cost = 33525527.5577
Iteration 41: Best Cost = 8634345.2366
Iteration 42: Best Cost = 8634345.2366
Iteration 43: Best Cost = 8634345.2366
Iteration 44: Best Cost = 581400.5909
Iteration 45: Best Cost = 581400.5909
Iteration 46: Best Cost = 581400.5909
Iteration 47: Best Cost = 581400.5909
Iteration 48: Best Cost = 581400.5909
Iteration 49: Best Cost = 581400.5909
Iteration 50: Best Cost = 86107.2368
Iteration 51: Best Cost = 86107.2368
Iteration 52: Best Cost = 86107.2368
Iteration 53: Best Cost = 86107.2368
Iteration 54: Best Cost = 86107.2368
Iteration 55: Best Cost = 53821.9943
Iteration 56: Best Cost = 14792.538
Iteration 57: Best Cost = 14792.538
Iteration 58: Best Cost = 14792.538
Iteration 59: Best Cost = 14792.538
Iteration 60: Best Cost = 14792.538
Iteration 61: Best Cost = 14792.538
Iteration 62: Best Cost = 14792.538
Iteration 63: Best Cost = 14792.538
Iteration 64: Best Cost = 14792.538
Iteration 65: Best Cost = 10265.9015
Iteration 66: Best Cost = 10265.9015
Iteration 67: Best Cost = 6540.1918
Iteration 68: Best Cost = 3474.3907
Iteration 69: Best Cost = 3474.3907
Iteration 70: Best Cost = 1860.5108
Iteration 71: Best Cost = 637.6067
Iteration 72: Best Cost = 637.6067
Iteration 73: Best Cost = 637.6067
Iteration 74: Best Cost = 637.6067
Iteration 75: Best Cost = 637.6067
Iteration 76: Best Cost = 421.4156
Iteration 77: Best Cost = 164.8281
Iteration 78: Best Cost = 164.8281
Iteration 79: Best Cost = 164.8281
Iteration 80: Best Cost = 164.8281
Iteration 81: Best Cost = 123.1228
Iteration 82: Best Cost = 123.1228
Iteration 83: Best Cost = 17.5435
Iteration 84: Best Cost = 17.5435
Iteration 85: Best Cost = 12.6735
Iteration 86: Best Cost = 12.6735
Iteration 87: Best Cost = 2.36
Iteration 88: Best Cost = 1.8724
Iteration 89: Best Cost = 1.8724
Iteration 90: Best Cost = 1.8724
Iteration 91: Best Cost = 1.8724
Iteration 92: Best Cost = 1.8724
Iteration 93: Best Cost = 1.8724
Iteration 94: Best Cost = 1.8724
Iteration 95: Best Cost = 0.32708
Iteration 96: Best Cost = 0.32708
Iteration 97: Best Cost = 0.21963
Iteration 98: Best Cost = 0.099586
Iteration 99: Best Cost = 0.099586
Iteration 100: Best Cost = 0.099586
Iteration 101: Best Cost = 0.099586
Iteration 102: Best Cost = 0.099586
Iteration 103: Best Cost = 0.099586
Iteration 104: Best Cost = 0.099586
Iteration 105: Best Cost = 0.01759
Iteration 106: Best Cost = 0.01759
Iteration 107: Best Cost = 0.01759
Iteration 108: Best Cost = 0.01759
Iteration 109: Best Cost = 0.01759
Iteration 110: Best Cost = 0.01759
Iteration 111: Best Cost = 0.011567
Iteration 112: Best Cost = 0.011567
Iteration 113: Best Cost = 0.011567
Iteration 114: Best Cost = 0.011567
Iteration 115: Best Cost = 0.011567
Iteration 116: Best Cost = 0.011567
Iteration 117: Best Cost = 0.0097249
Iteration 118: Best Cost = 0.0077681
Iteration 119: Best Cost = 0.0077681
Iteration 120: Best Cost = 0.0077681
Iteration 121: Best Cost = 0.0073341
Iteration 122: Best Cost = 0.0026298
Iteration 123: Best Cost = 0.0026298
Iteration 124: Best Cost = 0.0026298
Iteration 125: Best Cost = 0.0026298
Iteration 126: Best Cost = 0.0026298
Iteration 127: Best Cost = 0.00013805
Iteration 128: Best Cost = 0.00013805
Iteration 129: Best Cost = 0.00013805
Iteration 130: Best Cost = 0.00013805
Iteration 131: Best Cost = 0.00013805
Iteration 132: Best Cost = 0.00013805
Iteration 133: Best Cost = 0.00013805
Iteration 134: Best Cost = 3.92e-05
Iteration 135: Best Cost = 2.1369e-05
Iteration 136: Best Cost = 2.1369e-05
Iteration 137: Best Cost = 2.1369e-05
Iteration 138: Best Cost = 4.5194e-06
Iteration 139: Best Cost = 4.5194e-06
Iteration 140: Best Cost = 1.929e-06
Iteration 141: Best Cost = 1.929e-06
Iteration 142: Best Cost = 5.6051e-07
Iteration 143: Best Cost = 5.6051e-07
Iteration 144: Best Cost = 5.6051e-07
Iteration 145: Best Cost = 5.6051e-07
Iteration 146: Best Cost = 5.2917e-07
Iteration 147: Best Cost = 5.2917e-07
Iteration 148: Best Cost = 5.2917e-07
Iteration 149: Best Cost = 5.2917e-07
Iteration 150: Best Cost = 1.421e-07
Iteration 151: Best Cost = 1.421e-07
Iteration 152: Best Cost = 1.421e-07
Iteration 153: Best Cost = 1.421e-07
Iteration 154: Best Cost = 6.3523e-08
Iteration 155: Best Cost = 6.3523e-08
Iteration 156: Best Cost = 6.3523e-08
Iteration 157: Best Cost = 6.3523e-08
Iteration 158: Best Cost = 6.3523e-08
Iteration 159: Best Cost = 6.3523e-08
Iteration 160: Best Cost = 6.3523e-08
Iteration 161: Best Cost = 5.6882e-08
Iteration 162: Best Cost = 3.4621e-08
Iteration 163: Best Cost = 2.6368e-08
Iteration 164: Best Cost = 2.1809e-08
Iteration 165: Best Cost = 2.1809e-08
Iteration 166: Best Cost = 2.1809e-08
Iteration 167: Best Cost = 2.1809e-08
Iteration 168: Best Cost = 2.1809e-08
Iteration 169: Best Cost = 1.1355e-08
Iteration 170: Best Cost = 1.1355e-08
Iteration 171: Best Cost = 1.1355e-08
Iteration 172: Best Cost = 1.1355e-08
Iteration 173: Best Cost = 1.1355e-08
Iteration 174: Best Cost = 1.1355e-08
Iteration 175: Best Cost = 1.1355e-08
Iteration 176: Best Cost = 1.1355e-08
Iteration 177: Best Cost = 5.1043e-09
Iteration 178: Best Cost = 5.1043e-09
Iteration 179: Best Cost = 4.5536e-09
Iteration 180: Best Cost = 4.1686e-09
Iteration 181: Best Cost = 4.1686e-09
Iteration 182: Best Cost = 4.8195e-10
Iteration 183: Best Cost = 4.8195e-10
Iteration 184: Best Cost = 4.8195e-10
Iteration 185: Best Cost = 4.8195e-10
Iteration 186: Best Cost = 4.8195e-10
Iteration 187: Best Cost = 4.5026e-10
Iteration 188: Best Cost = 4.1689e-10
Iteration 189: Best Cost = 4.1689e-10
Iteration 190: Best Cost = 2.8371e-10
Iteration 191: Best Cost = 2.8371e-10
Iteration 192: Best Cost = 2.8371e-10
Iteration 193: Best Cost = 2.8371e-10
Iteration 194: Best Cost = 2.8371e-10
Iteration 195: Best Cost = 2.8371e-10
Iteration 196: Best Cost = 2.6794e-10
Iteration 197: Best Cost = 2.6794e-10
Iteration 198: Best Cost = 1.1098e-10
Iteration 199: Best Cost = 1.1098e-10
Iteration 200: Best Cost = 1.1098e-10
Iteration 201: Best Cost = 1.1098e-10
Iteration 202: Best Cost = 1.1098e-10
Iteration 203: Best Cost = 3.7064e-11
Iteration 204: Best Cost = 3.7064e-11
Iteration 205: Best Cost = 3.7064e-11
Iteration 206: Best Cost = 3.2744e-11
Iteration 207: Best Cost = 3.2744e-11
Iteration 208: Best Cost = 8.4897e-12
Iteration 209: Best Cost = 8.4897e-12
Iteration 210: Best Cost = 8.4897e-12
Iteration 211: Best Cost = 8.4897e-12
Iteration 212: Best Cost = 8.4897e-12
Iteration 213: Best Cost = 7.4147e-12
Iteration 214: Best Cost = 7.4147e-12
Iteration 215: Best Cost = 6.0356e-12
Iteration 216: Best Cost = 6.0356e-12
Iteration 217: Best Cost = 6.0356e-12
Iteration 218: Best Cost = 4.5054e-12
Iteration 219: Best Cost = 2.8975e-12
Iteration 220: Best Cost = 1.9522e-12
Iteration 221: Best Cost = 1.9522e-12
Iteration 222: Best Cost = 1.187e-12
Iteration 223: Best Cost = 1.187e-12
Iteration 224: Best Cost = 1.187e-12
Iteration 225: Best Cost = 8.4542e-13
Iteration 226: Best Cost = 7.3549e-13
Iteration 227: Best Cost = 7.3549e-13
Iteration 228: Best Cost = 1.316e-13
Iteration 229: Best Cost = 1.316e-13
Iteration 230: Best Cost = 1.0759e-13
Iteration 231: Best Cost = 1.0759e-13
Iteration 232: Best Cost = 8.8846e-14
Iteration 233: Best Cost = 8.8846e-14
Iteration 234: Best Cost = 8.8846e-14
Iteration 235: Best Cost = 8.8846e-14
Iteration 236: Best Cost = 8.3066e-14
Iteration 237: Best Cost = 8.3066e-14
Iteration 238: Best Cost = 8.3066e-14
Iteration 239: Best Cost = 1.5288e-14
Iteration 240: Best Cost = 1.5288e-14
Iteration 241: Best Cost = 5.2356e-15
Iteration 242: Best Cost = 5.2356e-15
Iteration 243: Best Cost = 5.2356e-15
Iteration 244: Best Cost = 5.2356e-15
Iteration 245: Best Cost = 2.3114e-15
Iteration 246: Best Cost = 8.1006e-16
Iteration 247: Best Cost = 8.1006e-16
Iteration 248: Best Cost = 8.1006e-16
Iteration 249: Best Cost = 4.9703e-16
Iteration 250: Best Cost = 2.5857e-16
Iteration 251: Best Cost = 2.2716e-16
Iteration 252: Best Cost = 2.2716e-16
Iteration 253: Best Cost = 2.0424e-16
Iteration 254: Best Cost = 1.4271e-16
Iteration 255: Best Cost = 9.8575e-17
Iteration 256: Best Cost = 4.5498e-17
Iteration 257: Best Cost = 4.5498e-17
Iteration 258: Best Cost = 2.2479e-18
Iteration 259: Best Cost = 2.2479e-18
Iteration 260: Best Cost = 2.2479e-18
Iteration 261: Best Cost = 2.2479e-18
Iteration 262: Best Cost = 2.2479e-18
Iteration 263: Best Cost = 2.2479e-18
Iteration 264: Best Cost = 2.2479e-18
Iteration 265: Best Cost = 2.2479e-18
Iteration 266: Best Cost = 2.2479e-18
Iteration 267: Best Cost = 1.6907e-18
Iteration 268: Best Cost = 4.4065e-19
Iteration 269: Best Cost = 4.4065e-19
Iteration 270: Best Cost = 1.9472e-19
Iteration 271: Best Cost = 1.9472e-19
Iteration 272: Best Cost = 1.9472e-19
Iteration 273: Best Cost = 1.9472e-19
Iteration 274: Best Cost = 1.9472e-19
Iteration 275: Best Cost = 1.9472e-19
Iteration 276: Best Cost = 1.9285e-19
Iteration 277: Best Cost = 1.9285e-19
Iteration 278: Best Cost = 4.7984e-20
Iteration 279: Best Cost = 4.7984e-20
Iteration 280: Best Cost = 1.1195e-20
Iteration 281: Best Cost = 1.1195e-20
Iteration 282: Best Cost = 1.1195e-20
Iteration 283: Best Cost = 1.1195e-20
Iteration 284: Best Cost = 9.2802e-21
Iteration 285: Best Cost = 4.3991e-21
Iteration 286: Best Cost = 4.3991e-21
Iteration 287: Best Cost = 4.147e-21
Iteration 288: Best Cost = 3.0893e-21
Iteration 289: Best Cost = 2.5999e-21
Iteration 290: Best Cost = 1.475e-21
Iteration 291: Best Cost = 1.475e-21
Iteration 292: Best Cost = 8.3259e-22
Iteration 293: Best Cost = 6.873e-22
Iteration 294: Best Cost = 6.873e-22
Iteration 295: Best Cost = 6.873e-22
Iteration 296: Best Cost = 6.873e-22
Iteration 297: Best Cost = 6.873e-22
Iteration 298: Best Cost = 1.2302e-22
Iteration 299: Best Cost = 4.2765e-23
Iteration 300: Best Cost = 4.2765e-23
Iteration 301: Best Cost = 4.2765e-23
Iteration 302: Best Cost = 2.5142e-23
Iteration 303: Best Cost = 2.5142e-23
Iteration 304: Best Cost = 2.5142e-23
Iteration 305: Best Cost = 1.8504e-23
Iteration 306: Best Cost = 1.6286e-23
Iteration 307: Best Cost = 1.1831e-23
Iteration 308: Best Cost = 3.5979e-24
Iteration 309: Best Cost = 3.5979e-24
Iteration 310: Best Cost = 3.5979e-24
Iteration 311: Best Cost = 2.9006e-24
Iteration 312: Best Cost = 1.699e-24
Iteration 313: Best Cost = 1.699e-24
Iteration 314: Best Cost = 1.2982e-24
Iteration 315: Best Cost = 1.1208e-24
Iteration 316: Best Cost = 7.9561e-25
Iteration 317: Best Cost = 7.9561e-25
Iteration 318: Best Cost = 3.3333e-25
Iteration 319: Best Cost = 1.943e-25
Iteration 320: Best Cost = 1.943e-25
Iteration 321: Best Cost = 1.5409e-25
Iteration 322: Best Cost = 1.2525e-25
Iteration 323: Best Cost = 5.9659e-26
Iteration 324: Best Cost = 5.9659e-26
Iteration 325: Best Cost = 3.4361e-26
Iteration 326: Best Cost = 3.2254e-26
Iteration 327: Best Cost = 9.3806e-27
Iteration 328: Best Cost = 9.3806e-27
