Please Enter Unimodal Function Number: 10
Iteration 1: Best Cost = 0.1062
Iteration 2: Best Cost = 0.1062
Iteration 3: Best Cost = 0.023129
Iteration 4: Best Cost = 0.012156
Iteration 5: Best Cost = 0.0015479
Iteration 6: Best Cost = 0.00025088
Iteration 7: Best Cost = 2.6529e-05
Iteration 8: Best Cost = 2.0656e-05
Iteration 9: Best Cost = 9.0938e-06
Iteration 10: Best Cost = 9.0938e-06
Iteration 11: Best Cost = 1.577e-06
Iteration 12: Best Cost = 2.9315e-07
Iteration 13: Best Cost = 1.1003e-07
Iteration 14: Best Cost = 3.5804e-09
Iteration 15: Best Cost = 2.645e-09
Iteration 16: Best Cost = 9.9918e-10
Iteration 17: Best Cost = 4.0674e-10
Iteration 18: Best Cost = 2.5966e-11
Iteration 19: Best Cost = 2.5966e-11
Iteration 20: Best Cost = 2.5966e-11
Iteration 21: Best Cost = 3.5884e-12
Iteration 22: Best Cost = 1.7878e-12
Iteration 23: Best Cost = 1.365e-12
Iteration 24: Best Cost = 2.5569e-13
Iteration 25: Best Cost = 2.5569e-13
Iteration 26: Best Cost = 1.1693e-14
Iteration 27: Best Cost = 1.1693e-14
Iteration 28: Best Cost = 5.3793e-15
Iteration 29: Best Cost = 5.3793e-15
Iteration 30: Best Cost = 4.2185e-16
Iteration 31: Best Cost = 6.7805e-17
Iteration 32: Best Cost = 1.5808e-17
Iteration 33: Best Cost = 1.5808e-17
Iteration 34: Best Cost = 1.2237e-18
Iteration 35: Best Cost = 1.2237e-18
Iteration 36: Best Cost = 9.7327e-20
Iteration 37: Best Cost = 7.988e-20
Iteration 38: Best Cost = 1.8332e-20
Iteration 39: Best Cost = 5.8013e-22
Iteration 40: Best Cost = 5.8013e-22
Iteration 41: Best Cost = 5.5577e-22
Iteration 42: Best Cost = 2.53e-22
Iteration 43: Best Cost = 4.2106e-23
Iteration 44: Best Cost = 7.331e-24
Iteration 45: Best Cost = 7.331e-24
Iteration 46: Best Cost = 5.8434e-24
Iteration 47: Best Cost = 6.5841e-25
Iteration 48: Best Cost = 6.194e-25
Iteration 49: Best Cost = 3.9788e-25
Iteration 50: Best Cost = 1.3002e-25
Iteration 51: Best Cost = 7.5978e-26
Iteration 52: Best Cost = 4.9195e-26
Iteration 53: Best Cost = 7.7364e-27
Iteration 54: Best Cost = 4.1922e-27
Iteration 55: Best Cost = 1.3929e-27
Iteration 56: Best Cost = 7.5851e-29
Iteration 57: Best Cost = 7.5851e-29
Iteration 58: Best Cost = 4.622e-29
Iteration 59: Best Cost = 1.2646e-29
Iteration 60: Best Cost = 2.7035e-30
Iteration 61: Best Cost = 3.1236e-32
Iteration 62: Best Cost = 3.1236e-32
Iteration 63: Best Cost = 3.1236e-32
Iteration 64: Best Cost = 9.326e-33
Iteration 65: Best Cost = 9.326e-33
Iteration 66: Best Cost = 9.326e-33
Iteration 67: Best Cost = 3.5481e-33
Iteration 68: Best Cost = 7.8436e-35
Iteration 69: Best Cost = 4.0148e-36
Iteration 70: Best Cost = 4.0148e-36
Iteration 71: Best Cost = 1.4204e-36
Iteration 72: Best Cost = 3.1081e-37
Iteration 73: Best Cost = 5.7263e-38
Iteration 74: Best Cost = 1.4994e-38
Iteration 75: Best Cost = 7.0628e-39
Iteration 76: Best Cost = 1.3419e-39
Iteration 77: Best Cost = 1.0414e-39
Iteration 78: Best Cost = 1.0414e-39
Iteration 79: Best Cost = 1.2688e-40
Iteration 80: Best Cost = 2.3787e-41
Iteration 81: Best Cost = 1.7039e-43
Iteration 82: Best Cost = 1.7039e-43
Iteration 83: Best Cost = 1.7039e-43
Iteration 84: Best Cost = 5.6592e-45
Iteration 85: Best Cost = 5.6592e-45
Iteration 86: Best Cost = 5.6592e-45
Iteration 87: Best Cost = 2.4769e-45
Iteration 88: Best Cost = 3.2384e-46
Iteration 89: Best Cost = 2.4919e-46
Iteration 90: Best Cost = 8.1975e-47
Iteration 91: Best Cost = 1.6501e-48
Iteration 92: Best Cost = 1.6501e-48
Iteration 93: Best Cost = 1.6501e-48
Iteration 94: Best Cost = 1.387e-48
Iteration 95: Best Cost = 4.3591e-49
Iteration 96: Best Cost = 2.7064e-49
Iteration 97: Best Cost = 3.5861e-50
Iteration 98: Best Cost = 2.245e-50
Iteration 99: Best Cost = 2.629e-51
Iteration 100: Best Cost = 1.9976e-51
Iteration 101: Best Cost = 1.0865e-52
Iteration 102: Best Cost = 1.0865e-52
