Please Enter Unimodal Function Number: 11
Iteration 1: Best Cost = 0.36817
Iteration 2: Best Cost = 0.36817
Iteration 3: Best Cost = 0.36817
Iteration 4: Best Cost = 0.36817
Iteration 5: Best Cost = 0.36817
Iteration 6: Best Cost = 0.36817
Iteration 7: Best Cost = 0.36817
Iteration 8: Best Cost = 0.36817
Iteration 9: Best Cost = 0.36817
Iteration 10: Best Cost = 0.36817
Iteration 11: Best Cost = 0.36817
Iteration 12: Best Cost = 0.36817
Iteration 13: Best Cost = 0.36817
Iteration 14: Best Cost = 0.36817
Iteration 15: Best Cost = 0.36817
Iteration 16: Best Cost = 0.36817
Iteration 17: Best Cost = 0.36817
Iteration 18: Best Cost = 0.19216
Iteration 19: Best Cost = 0.19216
Iteration 20: Best Cost = 0.19216
Iteration 21: Best Cost = 0.19216
Iteration 22: Best Cost = 0.19216
Iteration 23: Best Cost = 0.19216
Iteration 24: Best Cost = 0.19216
Iteration 25: Best Cost = 0.19216
Iteration 26: Best Cost = 0.13359
Iteration 27: Best Cost = 0.13359
Iteration 28: Best Cost = 0.13359
Iteration 29: Best Cost = 0.13359
Iteration 30: Best Cost = 0.061015
Iteration 31: Best Cost = 0.061015
Iteration 32: Best Cost = 0.061015
Iteration 33: Best Cost = 0.012236
Iteration 34: Best Cost = 0.012236
Iteration 35: Best Cost = 0.012236
Iteration 36: Best Cost = 0.012236
Iteration 37: Best Cost = 0.012236
Iteration 38: Best Cost = 0.010001
Iteration 39: Best Cost = 0.0083536
Iteration 40: Best Cost = 0.0083536
Iteration 41: Best Cost = 0.0038402
Iteration 42: Best Cost = 0.0038402
Iteration 43: Best Cost = 0.0038402
Iteration 44: Best Cost = 0.0038402
Iteration 45: Best Cost = 0.0038402
Iteration 46: Best Cost = 0.0026777
Iteration 47: Best Cost = 0.00029393
Iteration 48: Best Cost = 0.00029393
Iteration 49: Best Cost = 0.00029393
Iteration 50: Best Cost = 0.00029393
Iteration 51: Best Cost = 0.00013329
Iteration 52: Best Cost = 8.4676e-05
Iteration 53: Best Cost = 8.4676e-05
Iteration 54: Best Cost = 8.4676e-05
Iteration 55: Best Cost = 8.4676e-05
Iteration 56: Best Cost = 8.4676e-05
Iteration 57: Best Cost = 4.2552e-05
Iteration 58: Best Cost = 4.2552e-05
Iteration 59: Best Cost = 4.2552e-05
Iteration 60: Best Cost = 2.3095e-05
Iteration 61: Best Cost = 2.3095e-05
Iteration 62: Best Cost = 2.3095e-05
Iteration 63: Best Cost = 1.6847e-05
Iteration 64: Best Cost = 1.6847e-05
Iteration 65: Best Cost = 1.6847e-05
Iteration 66: Best Cost = 1.6847e-05
Iteration 67: Best Cost = 1.6847e-05
Iteration 68: Best Cost = 8.1983e-06
Iteration 69: Best Cost = 6.6924e-06
Iteration 70: Best Cost = 6.6924e-06
Iteration 71: Best Cost = 6.6924e-06
Iteration 72: Best Cost = 6.6924e-06
Iteration 73: Best Cost = 3.3805e-06
Iteration 74: Best Cost = 3.3805e-06
Iteration 75: Best Cost = 3.3805e-06
Iteration 76: Best Cost = 3.3805e-06
Iteration 77: Best Cost = 1.9353e-06
Iteration 78: Best Cost = 1.8957e-06
Iteration 79: Best Cost = 1.8957e-06
Iteration 80: Best Cost = 1.8957e-06
Iteration 81: Best Cost = 6.1829e-07
Iteration 82: Best Cost = 6.1829e-07
Iteration 83: Best Cost = 6.1829e-07
Iteration 84: Best Cost = 5.9027e-07
Iteration 85: Best Cost = 4.4957e-07
Iteration 86: Best Cost = 4.4957e-07
Iteration 87: Best Cost = 4.1475e-07
Iteration 88: Best Cost = 2.846e-07
Iteration 89: Best Cost = 2.6475e-07
Iteration 90: Best Cost = 2.2429e-07
Iteration 91: Best Cost = 2.0993e-07
Iteration 92: Best Cost = 1.4722e-07
Iteration 93: Best Cost = 4.1563e-08
Iteration 94: Best Cost = 2.008e-08
Iteration 95: Best Cost = 2.008e-08
Iteration 96: Best Cost = 2.008e-08
Iteration 97: Best Cost = 2.008e-08
Iteration 98: Best Cost = 2.008e-08
Iteration 99: Best Cost = 2.008e-08
Iteration 100: Best Cost = 1.7741e-08
Iteration 101: Best Cost = 1.7741e-08
Iteration 102: Best Cost = 1.7741e-08
Iteration 103: Best Cost = 1.7741e-08
Iteration 104: Best Cost = 1.7741e-08
Iteration 105: Best Cost = 1.7741e-08
