Please Enter Unimodal Function Number: 18
Iteration 1: Best Cost = 86.0521
Iteration 2: Best Cost = 86.0521
Iteration 3: Best Cost = 86.0521
Iteration 4: Best Cost = 86.0521
Iteration 5: Best Cost = 86.0521
Iteration 6: Best Cost = 86.0521
Iteration 7: Best Cost = 86.0521
Iteration 8: Best Cost = 86.0521
Iteration 9: Best Cost = 86.0521
Iteration 10: Best Cost = 86.0521
Iteration 11: Best Cost = 86.0521
Iteration 12: Best Cost = 86.0521
Iteration 13: Best Cost = 86.0521
Iteration 14: Best Cost = 86.0521
Iteration 15: Best Cost = 85.5907
Iteration 16: Best Cost = 85.5907
Iteration 17: Best Cost = 85.5907
Iteration 18: Best Cost = 85.5907
Iteration 19: Best Cost = 85.5907
Iteration 20: Best Cost = 85.5907
Iteration 21: Best Cost = 85.5907
Iteration 22: Best Cost = 85.5907
Iteration 23: Best Cost = 85.5907
Iteration 24: Best Cost = 85.5907
Iteration 25: Best Cost = 85.5907
Iteration 26: Best Cost = 85.5907
Iteration 27: Best Cost = 85.5907
Iteration 28: Best Cost = 85.5907
Iteration 29: Best Cost = 85.5907
Iteration 30: Best Cost = 85.5907
Iteration 31: Best Cost = 85.5907
Iteration 32: Best Cost = 85.5907
Iteration 33: Best Cost = 85.5907
Iteration 34: Best Cost = 85.5907
Iteration 35: Best Cost = 85.5907
Iteration 36: Best Cost = 85.5907
Iteration 37: Best Cost = 85.5907
Iteration 38: Best Cost = 85.5907
Iteration 39: Best Cost = 85.5907
Iteration 40: Best Cost = 85.5907
Iteration 41: Best Cost = 85.5907
Iteration 42: Best Cost = 85.5907
Iteration 43: Best Cost = 85.5907
Iteration 44: Best Cost = 85.5907
Iteration 45: Best Cost = 85.5907
Iteration 46: Best Cost = 85.5907
Iteration 47: Best Cost = 85.5907
Iteration 48: Best Cost = 85.5907
Iteration 49: Best Cost = 85.5907
Iteration 50: Best Cost = 85.5907
Iteration 51: Best Cost = 85.5907
Iteration 52: Best Cost = 85.5907
Iteration 53: Best Cost = 85.5907
Iteration 54: Best Cost = 85.5907
Iteration 55: Best Cost = 85.5907
Iteration 56: Best Cost = 85.5907
Iteration 57: Best Cost = 85.5907
Iteration 58: Best Cost = 85.5907
Iteration 59: Best Cost = 85.5907
Iteration 60: Best Cost = 83.0299
Iteration 61: Best Cost = 83.0299
Iteration 62: Best Cost = 83.0299
Iteration 63: Best Cost = 83.0299
Iteration 64: Best Cost = 83.0299
Iteration 65: Best Cost = 83.0299
Iteration 66: Best Cost = 83.0299
Iteration 67: Best Cost = 78.5113
Iteration 68: Best Cost = 78.5113
Iteration 69: Best Cost = 71.1575
Iteration 70: Best Cost = 71.1575
Iteration 71: Best Cost = 71.1575
Iteration 72: Best Cost = 71.1575
Iteration 73: Best Cost = 71.1575
Iteration 74: Best Cost = 71.1575
Iteration 75: Best Cost = 71.1575
Iteration 76: Best Cost = 68.6032
Iteration 77: Best Cost = 65.9641
Iteration 78: Best Cost = 65.9641
Iteration 79: Best Cost = 65.9641
Iteration 80: Best Cost = 65.9641
Iteration 81: Best Cost = 65.0018
Iteration 82: Best Cost = 65.0018
Iteration 83: Best Cost = 60.1907
Iteration 84: Best Cost = 59.5632
Iteration 85: Best Cost = 59.5632
Iteration 86: Best Cost = 59.5632
Iteration 87: Best Cost = 55.0686
Iteration 88: Best Cost = 55.0686
Iteration 89: Best Cost = 55.0686
Iteration 90: Best Cost = 55.0686
Iteration 91: Best Cost = 52.6126
Iteration 92: Best Cost = 52.6126
Iteration 93: Best Cost = 52.6126
Iteration 94: Best Cost = 38.4596
Iteration 95: Best Cost = 38.4596
Iteration 96: Best Cost = 38.4596
Iteration 97: Best Cost = 38.4596
Iteration 98: Best Cost = 38.4596
Iteration 99: Best Cost = 38.4596
Iteration 100: Best Cost = 38.4596
Iteration 101: Best Cost = 38.4596
Iteration 102: Best Cost = 38.4596
Iteration 103: Best Cost = 38.4596
Iteration 104: Best Cost = 38.4596
Iteration 105: Best Cost = 38.4596
Iteration 106: Best Cost = 38.4596
Iteration 107: Best Cost = 38.4596
Iteration 108: Best Cost = 35.6293
Iteration 109: Best Cost = 35.6293
Iteration 110: Best Cost = 33.5757
Iteration 111: Best Cost = 33.5757
Iteration 112: Best Cost = 33.257
Iteration 113: Best Cost = 33.257
Iteration 114: Best Cost = 33.257
Iteration 115: Best Cost = 33.257
Iteration 116: Best Cost = 33.257
Iteration 117: Best Cost = 33.257
Iteration 118: Best Cost = 33.257
Iteration 119: Best Cost = 31.5231
Iteration 120: Best Cost = 31.5231
Iteration 121: Best Cost = 31.5231
Iteration 122: Best Cost = 31.5231
Iteration 123: Best Cost = 31.5231
Iteration 124: Best Cost = 30.9136
Iteration 125: Best Cost = 28.5219
Iteration 126: Best Cost = 28.5219
Iteration 127: Best Cost = 28.5219
Iteration 128: Best Cost = 28.5219
Iteration 129: Best Cost = 28.5219
Iteration 130: Best Cost = 28.5219
Iteration 131: Best Cost = 28.5219
Iteration 132: Best Cost = 28.5219
Iteration 133: Best Cost = 28.4476
Iteration 134: Best Cost = 28.4476
Iteration 135: Best Cost = 26.2181
Iteration 136: Best Cost = 26.2181
Iteration 137: Best Cost = 26.2181
Iteration 138: Best Cost = 26.2181
Iteration 139: Best Cost = 26.2181
Iteration 140: Best Cost = 26.2181
Iteration 141: Best Cost = 26.2181
Iteration 142: Best Cost = 26.2181
Iteration 143: Best Cost = 23.0111
Iteration 144: Best Cost = 23.0111
Iteration 145: Best Cost = 23.0111
Iteration 146: Best Cost = 23.0111
Iteration 147: Best Cost = 22.6977
Iteration 148: Best Cost = 22.6977
Iteration 149: Best Cost = 22.6977
Iteration 150: Best Cost = 22.6977
Iteration 151: Best Cost = 22.6977
Iteration 152: Best Cost = 22.6517
Iteration 153: Best Cost = 22.6517
Iteration 154: Best Cost = 18.155
Iteration 155: Best Cost = 18.155
Iteration 156: Best Cost = 18.155
Iteration 157: Best Cost = 18.155
Iteration 158: Best Cost = 18.155
Iteration 159: Best Cost = 18.155
Iteration 160: Best Cost = 18.155
Iteration 161: Best Cost = 18.155
Iteration 162: Best Cost = 17.646
Iteration 163: Best Cost = 17.0488
Iteration 164: Best Cost = 15.5646
Iteration 165: Best Cost = 15.5646
Iteration 166: Best Cost = 15.5646
Iteration 167: Best Cost = 15.5646
Iteration 168: Best Cost = 15.5646
Iteration 169: Best Cost = 15.5646
Iteration 170: Best Cost = 15.5646
Iteration 171: Best Cost = 15.5646
Iteration 172: Best Cost = 15.5646
Iteration 173: Best Cost = 15.5646
Iteration 174: Best Cost = 15.5646
Iteration 175: Best Cost = 15.524
Iteration 176: Best Cost = 15.2326
Iteration 177: Best Cost = 14.5313
Iteration 178: Best Cost = 14.5313
Iteration 179: Best Cost = 14.5313
Iteration 180: Best Cost = 14.5313
Iteration 181: Best Cost = 14.5313
Iteration 182: Best Cost = 14.5313
Iteration 183: Best Cost = 14.5313
Iteration 184: Best Cost = 14.5313
Iteration 185: Best Cost = 14.5313
Iteration 186: Best Cost = 14.5313
Iteration 187: Best Cost = 14.5313
Iteration 188: Best Cost = 13.0013
Iteration 189: Best Cost = 13.0013
Iteration 190: Best Cost = 13.0013
Iteration 191: Best Cost = 13.0013
Iteration 192: Best Cost = 13.0013
Iteration 193: Best Cost = 13.0013
Iteration 194: Best Cost = 13.0013
Iteration 195: Best Cost = 13.0013
Iteration 196: Best Cost = 13.0013
Iteration 197: Best Cost = 13.0013
Iteration 198: Best Cost = 13.0013
Iteration 199: Best Cost = 11.8041
Iteration 200: Best Cost = 11.8041
Iteration 201: Best Cost = 11.8041
Iteration 202: Best Cost = 11.8041
Iteration 203: Best Cost = 11.8041
Iteration 204: Best Cost = 10.7716
Iteration 205: Best Cost = 10.7716
Iteration 206: Best Cost = 10.6421
Iteration 207: Best Cost = 10.6421
Iteration 208: Best Cost = 10.6421
Iteration 209: Best Cost = 10.6421
Iteration 210: Best Cost = 10.0538
Iteration 211: Best Cost = 10.0538
Iteration 212: Best Cost = 10.0538
Iteration 213: Best Cost = 10.0538
Iteration 214: Best Cost = 9.4296
Iteration 215: Best Cost = 9.4296
Iteration 216: Best Cost = 9.4296
Iteration 217: Best Cost = 9.2462
Iteration 218: Best Cost = 9.2462
Iteration 219: Best Cost = 9.2462
Iteration 220: Best Cost = 8.8917
Iteration 221: Best Cost = 8.8917
Iteration 222: Best Cost = 8.2878
Iteration 223: Best Cost = 7.9237
Iteration 224: Best Cost = 7.3577
Iteration 225: Best Cost = 7.3577
Iteration 226: Best Cost = 7.3577
Iteration 227: Best Cost = 7.3577
Iteration 228: Best Cost = 7.3577
Iteration 229: Best Cost = 7.3577
Iteration 230: Best Cost = 7.3577
Iteration 231: Best Cost = 7.3577
Iteration 232: Best Cost = 7.3577
Iteration 233: Best Cost = 7.3577
Iteration 234: Best Cost = 7.0132
Iteration 235: Best Cost = 7.0132
Iteration 236: Best Cost = 7.0132
Iteration 237: Best Cost = 6.9374
Iteration 238: Best Cost = 6.9374
Iteration 239: Best Cost = 6.9374
Iteration 240: Best Cost = 6.9374
Iteration 241: Best Cost = 6.9374
Iteration 242: Best Cost = 6.9374
Iteration 243: Best Cost = 6.9374
Iteration 244: Best Cost = 6.796
Iteration 245: Best Cost = 6.796
Iteration 246: Best Cost = 6.1216
Iteration 247: Best Cost = 6.1216
Iteration 248: Best Cost = 6.1216
Iteration 249: Best Cost = 6.1216
Iteration 250: Best Cost = 6.1216
Iteration 251: Best Cost = 6.1216
Iteration 252: Best Cost = 6.1216
Iteration 253: Best Cost = 6.1216
Iteration 254: Best Cost = 5.8599
Iteration 255: Best Cost = 5.6885
Iteration 256: Best Cost = 5.1133
Iteration 257: Best Cost = 5.1133
Iteration 258: Best Cost = 5.1133
Iteration 259: Best Cost = 5.1133
Iteration 260: Best Cost = 4.8064
Iteration 261: Best Cost = 4.8064
Iteration 262: Best Cost = 4.7934
Iteration 263: Best Cost = 4.6062
Iteration 264: Best Cost = 4.5889
Iteration 265: Best Cost = 4.3478
Iteration 266: Best Cost = 4.1321
Iteration 267: Best Cost = 4.1321
Iteration 268: Best Cost = 4.1321
Iteration 269: Best Cost = 4.1321
Iteration 270: Best Cost = 4.1321
Iteration 271: Best Cost = 3.832
Iteration 272: Best Cost = 3.832
Iteration 273: Best Cost = 3.832
Iteration 274: Best Cost = 3.832
Iteration 275: Best Cost = 3.64
