Please Enter Unimodal Function Number: 12
Iteration 1: Best Cost = 3.3793
Iteration 2: Best Cost = -1.315
Iteration 3: Best Cost = -1.315
Iteration 4: Best Cost = -1.8229
Iteration 5: Best Cost = -3.6791
Iteration 6: Best Cost = -4.2079
Iteration 7: Best Cost = -8.2772
Iteration 8: Best Cost = -17.7903
Iteration 9: Best Cost = -26.1845
Iteration 10: Best Cost = -47.2576
Iteration 11: Best Cost = -105.5701
Iteration 12: Best Cost = -190.1075
Iteration 13: Best Cost = -349.4831
Iteration 14: Best Cost = -587.4773
Iteration 15: Best Cost = -999.4981
Iteration 16: Best Cost = -1790.3238
Iteration 17: Best Cost = -3606.2956
Iteration 18: Best Cost = -6014.3891
Iteration 19: Best Cost = -10448.6084
Iteration 20: Best Cost = -13418.9061
Iteration 21: Best Cost = -18337.0244
Iteration 22: Best Cost = -24019.3841
Iteration 23: Best Cost = -27466.1378
Iteration 24: Best Cost = -33753.2571
Iteration 25: Best Cost = -40085.6376
Iteration 26: Best Cost = -45918.602
Iteration 27: Best Cost = -55874.1924
Iteration 28: Best Cost = -63097.949
Iteration 29: Best Cost = -67712.6123
Iteration 30: Best Cost = -86480.8419
Iteration 31: Best Cost = -92948.6232
Iteration 32: Best Cost = -116919.9295
Iteration 33: Best Cost = -124747.7401
Iteration 34: Best Cost = -143000.3888
Iteration 35: Best Cost = -177191.0351
Iteration 36: Best Cost = -211274.9021
Iteration 37: Best Cost = -245990.5615
Iteration 38: Best Cost = -338481.7546
Iteration 39: Best Cost = -406790.1953
Iteration 40: Best Cost = -471993.9914
Iteration 41: Best Cost = -552333.6124
Iteration 42: Best Cost = -752614.1682
Iteration 43: Best Cost = -994966.1384
Iteration 44: Best Cost = -1883222.7808
Iteration 45: Best Cost = -3509692.1165
Iteration 46: Best Cost = -4717616.8218
Iteration 47: Best Cost = -7762826.2698
Iteration 48: Best Cost = -8722307.6796
Iteration 49: Best Cost = -10430777.3418
Iteration 50: Best Cost = -10916745.111
Iteration 51: Best Cost = -11276532.5272
Iteration 52: Best Cost = -12883204.6769
Iteration 53: Best Cost = -15285569.8926
